Date,Open,High,Low,Close,Core CPI Y/Y,ISM,NFP,2yrUS_Ger,10yrUS_Ger
11/30/1992,87.72,91.55,87.7,90.83,3.4,53.6,136,-2.631,-0.418
10/30/1992,81.06,87.93,81.05,87.63,3.5,50.3,182,-3.086,-0.563
9/30/1992,78.84,85.96,78.19,81.1,3.3,49.7,36,-4.417,-1.118
8/31/1992,81.95,82.57,78.67,78.88,3.5,53.4,138,-5.019,-1.286
7/31/1992,83.71,83.97,80.58,81.91,3.7,53.9,71,-4.808,-1.447
6/30/1992,87.27,87.81,83.24,83.72,3.8,53.6,68,-4.2,-0.913
5/29/1992,89.53,89.6,86.58,87.22,3.8,55.7,126,-3.714,-0.611
4/30/1992,89.66,90.78,88.43,89.62,3.9,52.6,159,-3.545,-0.412
3/31/1992,89.13,91.53,88.7,89.65,3.9,54.6,54,-3.32,-0.473
2/28/1992,87.24,89.92,85.23,88.99,3.8,52.7,-63,-3.343,-0.593
1/31/1992,83.43,88.68,82.8,87.49,3.9,47.3,52,-3.521,-0.612
12/31/1991,87.57,87.87,83.21,83.53,4.4,46.8,26,-4.291,-1.31
11/29/1991,89.76,89.76,86.26,88.19,4.5,49.5,-58,-3.717,-0.952
10/31/1991,90,92.03,89.39,89.94,4.4,53.1,17,-3.345,-0.9
9/30/1991,93.18,93.31,89.65,89.9,4.5,54.9,32,-3.025,-0.952
8/30/1991,93.57,96.56,91.85,93.49,4.6,52.9,10,-2.658,-0.648
7/31/1991,96.01,97.32,92.89,93.49,4.8,50.6,-40,-2.337,-0.522
6/28/1991,93.58,96.75,93.02,96.03,5,50.3,97,-2.04,-0.265
5/31/1991,91.38,93.58,90.74,93.15,5.1,44.5,-125,-2.002,-0.207
4/30/1991,91.47,94.46,89.29,91.54,5.1,42.8,-211,-2.046,-0.328
3/29/1991,84.68,92.46,84.23,92.01,5.2,40.7,-158,-1.764,-0.423
2/28/1991,82.14,84.23,80.34,84.07,5.6,39.4,-305,-1.594,-0.296
1/31/1991,83.11,85.22,81.91,82,5.6,39.2,-120,-1.995,-0.608
12/31/1990,83.41,85.39,81.73,83.12,5.2,40.8,-56,-1.93,-0.925
11/30/1990,83.59,83.62,81.27,82.94,5.3,41.3,-150,-1.406,-0.566
10/31/1990,85.14,85.52,81.92,83.27,5.3,43.2,-159,-1.101,-0.379
9/28/1990,86.67,87.39,84.74,85.91,5.5,44.5,-89,-1.046,-0.334
8/31/1990,87.4,89.08,84.88,86.58,5.5,46.1,-216,,-0.095
7/31/1990,90.73,90.85,87.14,87.2,5,46.6,-32,,-0.159
6/29/1990,92.91,93.36,91.13,91.15,4.9,49.2,24,,-0.303
5/31/1990,93.22,93.34,90.66,92.93,4.8,49.5,151,,-0.192
4/30/1990,94.26,94.33,92.71,93.08,4.8,50,40,,0.209
3/30/1990,93.66,94.72,93.23,93.77,4.9,49.9,214,,0.223
2/28/1990,92.33,93.45,91.22,93.39,4.6,49.1,249,,-0.11
1/31/1990,92.99,94.54,91.86,92.55,4.4,47.2,334,,0.77
